,symbol,datetime,open,high,low,close
36,MSFT,2022-02-24 05:00:00,272.51,295.16,271.52,294.59
37,MSFT,2022-02-25 05:00:00,295.14,297.63,291.655,297.31
38,MSFT,2022-02-28 05:00:00,294.31,299.14,293.0,298.79
39,MSFT,2022-03-01 05:00:00,296.4,299.97,292.15,294.95
40,MSFT,2022-03-02 05:00:00,295.36,301.47,293.698,300.19
41,MSFT,2022-03-03 05:00:00,302.89,303.13,294.05,295.92
42,MSFT,2022-03-04 05:00:00,294.29,295.66,287.165,289.86
43,MSFT,2022-03-07 05:00:00,288.53,289.69,278.53,278.91
44,MSFT,2022-03-08 05:00:00,277.8,283.96,270.0,275.85
45,MSFT,2022-03-09 05:00:00,283.44,289.6,280.78,288.5
46,MSFT,2022-03-10 05:00:00,283.02,286.6,280.58,285.59
47,MSFT,2022-03-11 05:00:00,287.96,289.51,279.43,280.07
48,MSFT,2022-03-14 04:00:00,280.34,285.3992,275.82,276.44
49,MSFT,2022-03-15 04:00:00,280.35,287.82,278.725,287.15
50,MSFT,2022-03-16 04:00:00,289.11,294.57,283.2,294.39
51,MSFT,2022-03-17 04:00:00,293.29,295.61,289.37,295.22
52,MSFT,2022-03-18 04:00:00,295.37,301.0,292.73,300.43
53,MSFT,2022-03-21 04:00:00,298.89,300.14,294.9,299.16
54,MSFT,2022-03-22 04:00:00,299.8,305.0,298.77,304.06
55,MSFT,2022-03-23 04:00:00,300.51,303.23,297.7201,299.49
56,MSFT,2022-03-24 04:00:00,299.14,304.2,298.315,304.1
57,MSFT,2022-03-25 04:00:00,305.23,305.5,299.2855,303.68
58,MSFT,2022-03-28 04:00:00,304.33,310.8,304.33,310.7
59,MSFT,2022-03-29 04:00:00,313.91,315.82,309.05,315.41
60,MSFT,2022-03-30 04:00:00,313.76,315.95,311.58,313.86
61,MSFT,2022-03-31 04:00:00,313.9,315.14,307.89,308.31
62,MSFT,2022-04-01 04:00:00,309.37,310.13,305.54,309.42
63,MSFT,2022-04-04 04:00:00,310.09,315.11,309.71,314.97
64,MSFT,2022-04-05 04:00:00,313.27,314.865,309.87,310.88
65,MSFT,2022-04-06 04:00:00,305.19,307.0,296.71,299.5
66,MSFT,2022-04-07 04:00:00,296.66,303.65,296.35,301.37
67,MSFT,2022-04-08 04:00:00,300.44,301.12,296.28,296.97
68,MSFT,2022-04-11 04:00:00,291.79,292.61,285.0,285.26
69,MSFT,2022-04-12 04:00:00,289.235,290.739,280.49,282.06
70,MSFT,2022-04-13 04:00:00,282.73,288.58,281.3,287.62
71,MSFT,2022-04-14 04:00:00,288.09,288.305,279.32,279.83
72,MSFT,2022-04-18 04:00:00,278.91,282.46,278.34,280.52
73,MSFT,2022-04-19 04:00:00,279.38,286.17,278.41,285.3
74,MSFT,2022-04-20 04:00:00,289.4,289.7,285.3702,286.36
75,MSFT,2022-04-21 04:00:00,288.58,293.3,280.06,280.81
76,MSFT,2022-04-22 04:00:00,281.68,283.2,273.38,274.03
77,MSFT,2022-04-25 04:00:00,273.29,281.11,270.77,280.72
78,MSFT,2022-04-26 04:00:00,277.5,278.3599,270.0,270.22
79,MSFT,2022-04-27 04:00:00,282.1,290.97,279.16,283.22
80,MSFT,2022-04-28 04:00:00,285.185,290.98,281.4562,289.63
